# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
ATU	ATLANT HUNGARY	Atlant Aerobatics Ltd.	Hungary
ATV	AVANTI AIR	Avanti Air	Germany
ATW	AERO TRADES	Aero Trades (Western) Ltd.	Canada
ATX	AIRTAX	Warwickshire Aerocentre Ltd.	United Kingdom
AUA	AUSTRIAN	Austrian Airlines	Austria
AUB	AUGSBURG-AIR	Augsburg Airways	Germany
AUC	AUSCARGO	Transaustralian Air Express	Australia
AUF	AUGUSTA	Augusta Air Luftfahrtunternehmen	Germany
AUH	SULTAN	Abu Dhabi Amiri Flight	United Arab Emirates
AUI	UKRAINE INTERNATIONAL	Ukraine International Airlines	Ukraine
AUJ	AUSTROJET	Business Flight Salzburg	Austria
AUK	AUOS	AUOS	United Kingdom
AUL	DVINA	Aeroflot-Nord	Russia
AUM	ATLAMUR	Air Atlantic Uruguay	Uruguay
AUN	AVIONES UNIDOS	Aviones Unidos	Mexico
AUR	AYLINE	Aurigny Air Services	United Kingdom
AUT	AUSTRAL	Austral Lineas Aereas	Argentina
AUZ	AUSTRALIAN	Australian Airlines	Australia
AVA	AVIANCA	Avianca - Aerovias Nacionales de Colombia	Colombia
AVB	BEAUPAIR	Aviation Beaufort	United Kingdom
AVE	AVENSA	Avensa	Venezuela
AVF	CARIBOO	Aviair Aviation Ltd.	Canada
AVG	DJIBOUTI FALCON	Air Falcon	Djibouti
AVH	KENT HELI	AV8 Helicopters	United Kingdom
AVJ	ATOMIC	Avia Traffic Company	Kyrgyzstan
AVK	AVIATE-COPTER	AV8 Helicopters	South Africa
AVN	AIR VAN	Air Vanuatu	Vanuatu
AVO	AVIATION WORK	Aviation at Work	South Africa
AVP	AVCORP	Avcorp Registrations	United Kingdom
AVS	AVIALSA	Avialsa T-35	Spain
AVT	ASIAVIA	Asia Avia Airlines	Indonesia
AVU	AVIASUD	Avia Sud A	France
AVV	AIRVANTAGE	Airvantage Incorporated	United States
AVW	AVIATOR	Aviator Airways	Greece
AVX	PASLAUGA	Aviapaslauga	Lithuania
AVZ	AIR VALENCIA	Air Valencia	Spain
AWC	ZAP	Titan Airways	United Kingdom
AWE	CACTUS	America West Airlines	United States
AWI	AIR WISCONSIN	Air Wisconsin	United States
AWJ	SAHEL AIRLINES	Sahel Airlines	Niger
AWK	AIRWORK	Airwork	New Zealand
AWL	AUSSIEWORLD	Australian Wetleasing	Australia
AWM	ASIAN STAR	Asian Wings Airways	Burma
AWN	AIR NIAMEY	Air Niamey	Niger
AWO	AWOOD AIR	Awood Air Ltd.	Canada
AWQ	WAGON AIR	Indonesia AirAsia	Indonesia
AWR	ARCTIC WINGS	Arctic Wings And Rotors Ltd.	Canada
AWS	ARAB WINGS	Arab Wings	Jordan
AWT	AIR WEST	Air West	Canada
AWU	SYLT-AIR	Aeroline GmbH	Germany
AWW	RED DRAGON	Air Wales	United Kingdom
AXB	EXPRESS INDIA	Air India Express	India
AXC	AIRSPUP	Indochina Airlines	Vietnam
AXD	AIR SUDEX	Air Express	Sudan
AXF	FREIGHTEXPRESS	Asian Express Airlines	Australia
AXH	AEROMEXHAGA	Aeromexhaga	Mexico
AXK	EXPRESS JET	African Express Airways	Kenya
AXL	EXEL COMMUTER	Air Exel	Netherlands
AXM	ASIAN EXPRESS	AirAsia	Malaysia
AXN	ALEXANDROS	Alexandair	Greece
AXP	AEROMAX SPAIN	Aeromax	Spain
AXQ	ACTION AIR	Action Airlines (Action Air Charter)	United States
AXS	ALTUS	Altus Airlines	United States
AXV	AXAVIA	Aviaxess	France
AXX	IMPEX	Avioimpex A.D.p.o.	Macedonia
AXY	AXIS	Axis Airways	France
AYB	BELGIAN ARMY	Belgian Army	Belgium
AYD	AIRLINES ALADIA	Aladia Airlines	Mexico
AYR	CYGNET	Flight Training Europe	Spain
AYT	AYEET	Ayeet Aviation & Tourism	Israel
AYZ	ATLANT-SOYUZ	Atlant-Soyuz Airlines	Russia
AZA	ALITALIA	Alitalia	Italy
AZB	TUMARA	Azamat	Kazakhstan
AZE	ARCUS AIR	Arcus-Air Logistic	Germany
AZF	AIR ZERMATT	Air Zermatt AG	Switzerland
AZG	SAKSERVICE	Sakaviaservice	Georgia
AZI	AZZURRA	Azzurra Air	Italy
AZK	AZALHELICOPTER	Azalhelikopter	Azerbaijan
AZL	SKY AFRICA	Africa One	Zambia
AZM	AEROCOZUMEL	Aerocozumel	Mexico
AZP	ARIZONA PACIFIC	Arizona Pacific Airways	United States
AZQ	SILK LINE	Silk Way Airlines	Azerbaijan
AZR	ZENAIR	Zenith Air	South Africa
AZS	ZITOTRANS	Aviacon Zitotrans Air Company	Russia
AZV	AZOV AVIA	Azov Avia Airlines	Ukraine
